,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
37,the rudest book ever insanely practical idea to free your mind from all bull t,shwetabh gangwar is a professional problem solver and he s ace at it for the past five year people from all over the world have contacted him with their trouble and he s worked these out for them,shwetabh gangwar,2079.0,4.5,501.0,291,44,self esteem personal success personal development self help
38,start with why how great leader inspire everyone to take action int l edit,why are some people and organization more innovative more influential and more profitable than others why do some command greater loyalty from customer and employee alike even among the successful why are so few able to repeat their success over and over,simon sinek,3858.0,4.5,820.0,432,53,leadership business motivation self improvement entrepreneurship audible audiobooks original
39,never split the difference negotiating a if your life depended on it,brought to you by penguin,chris voss,6521.0,4.7,888.0,487,37,meeting presentation negotiating forecasting strategic planning
40,hyperfocus,our attention ha never been a overwhelmed or in demand a it is today we ve never been so busy while accomplishing so little and we ve grown uncomfortable with boredom and a lack of stimulation and distraction,chris bailey,157.0,4.5,323.0,399,31,time management memory improvement time management productivity
41,the tatas how a family built a business and a nation,winner of the gaja capital business book prize,girish kuber,53.0,4.4,668.0,581,34,biography of business leader biography autobiography book
42,homo deus a brief history of tomorrow,brought to you by penguin,yuval noah harari,5339.0,4.5,1093.0,893,47,future study anthropology audible audiobooks original history audible audiobooks original
43,meri gita,in meri gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary listener his unique approach thematic rather than verse by verse make the ancient treatise eminently accessible in a world that seems spellbound by argument over dialogue vi vaad over sam vaad devdutt highlight how krishna nudge arjuna to understand rather than judge his relationship this becomes relevant today when we are increasingly indulging and isolating the self self improvement self actualization self realization even selfies we forget that we live in an ecosystem of others where we can nourish each other with food love and meaning even when we fight,devdutt pattanaik,129.0,4.2,668.0,459,40,eastern philosophy hinduism audible audiobooks original christianity book
44,a space of her own personal narrative of twelve woman,focusing on relationship between woman of different generation in india this book is comprised of narrative demonstrating how each contributor established her own personhood through engagement with a wider kin group,leela gulati,9.0,3.4,0.0,671,4,woman s study sociology audible audiobooks original
45,no rule rule netflix and the culture of reinvention,hard work is irrelevant be radically honest adequate performance get a generous severance and never ever try to please your bos these are some of the ground rule if you work at netflix they are part of a unique cultural experiment that explains how the company ha transformed itself at lightning speed from a dvd mail order service into a streaming superpower with million fervent subscriber and a market capitalisation bigger than disney,reed hastings,12.0,4.1,888.0,582,27,workplace culture entrepreneurship audible audiobooks original analysis strategy
46,think and grow rich,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,napoleon hill,22448.0,4.5,166.0,615,38,economics audible audiobooks original business motivation self improvement economics book
47,think and grow rich,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,napoleon hill,22448.0,4.5,836.0,615,38,economics audible audiobooks original business motivation self improvement economics book
48,talking to stranger what we should know about the people we don t know,brought to you by penguin,malcolm gladwell,4327.0,4.5,1093.0,522,29,science personal development self help
49,the tale of beedle the bard,written by j k rowling read by sally mortemore warwick davis evanna lynch jason isaac bonnie wright noma dumezweni and jude law,j.k. rowling,3712.0,4.6,652.0,95,55,action adventure fiction for teen contemporary fantasy fairy tale collection anthology for child
50,the hard thing about hard thing building a business when there are no easy answer,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,ben horowitz,1886.0,4.6,11862.0,0,3,
51,the bhagavad gita,the bhagavad gita the song of the lord is the best known of all the indian scripture and easwaran s reliable and accessible version ha consistently been the best selling translation easwaran s introduction place the gita in it historical setting and brings out the universality and timelessness of it teaching chapter introduction give clear explanation of key concept in that chapter to listen to the scripture without the introduction listener should start at track the bhagavad gita open dramatically on a battlefield a the warrior arjuna turn in anguish to his spiritual guide sri krishna for answer to the fundamental question of life but a easwaran point out the gita is not what it seems it s not a dialogue between two mythical figure at the dawn of indian history the battlefield is a perfect backdrop but the gita s subject is the war within the struggle for self mastery that every human being must wage to live a life that is meaningful fulfilling and worthwhile this audio recording is a complete and unabridged reading of eknath easwaran s book the bhagavad gita,eknath easwaran,2021.0,4.7,280.0,0,3,
52,to kill a mockingbird,brought to you by penguin,harper lee,20053.0,4.5,888.0,0,3,
53,men are from mar woman are from venus the classic guide to understanding the opposite sex,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,john gray,3970.0,4.5,13345.0,0,3,
54,trading in the zone master the market with confidence discipline and a winning attitude,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,mark douglas,1048.0,4.7,879.0,0,3,
56,autobiography of a yogi,this audio edition featuring academy award winner ben kingsley s masterful narration contains the complete text of paramahansa yogananda s life story an absorbing account of a singular search for truth yogananda describes his experience with modern day saint and illuminated master of india and present a definitive introduction to the whole science and philosophy of yoga,paramahansa yogananda,2244.0,4.6,1126.0,0,3,
58,a gentleman in moscow,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,amor towles,16358.0,4.6,873.0,0,3,
59,hitchhiker s guide to the galaxy,a much loved science fiction classic this entertaining intergalactic adventure ha a lot going for it including narration by british comedian stephen fry adam display his talent for a creating a whole new world in this first of five audiobooks in the hitchhiker s guide to the galaxy series packed with brilliant humour extraordinary character and a highly original storyline it s no wonder that this novel is a favourite of so many,douglas adams,2473.0,4.5,323.0,0,3,
60,hit refresh,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,satya nadella,841.0,4.4,13442.0,0,3,
61,a suitable boy dramatised,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,vikram seth,554.0,4.4,888.0,0,3,
62,take control of your life how to silence fear and win the mental game,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,mel robbins,10.0,3.9,1003.0,0,3,
63,the x rule the only difference between success and failure,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,grant cardone,2729.0,4.6,703.0,0,3,
64,a game of throne book of a song of ice and fire,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,george r. r. martin,13129.0,4.7,18149.0,0,3,
65,mythos,step into another world of magic mayhem monster and maniacal god in stephen fry s momentous sunday time best seller mythos brought to you by penguin,stephen fry,2614.0,4.6,1093.0,0,3,
66,apke avchetan man ki shakti the power of your subconscious mind,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,dr. joseph murphy,2296.0,4.5,668.0,0,3,
67,harry potter and the order of the phoenix book,you are sharing the dark lord s thought and emotion the headmaster think it inadvisable for this to continue he wish me to teach you how to close your mind to the dark lord,j.k. rowling,5583.0,4.7,1599.0,1818,75,family life fiction for child fiction on friendship for child fiction on orphan foster home for child
68,harry potter and the goblet of fire book,there will be three task spaced throughout the school year and they will test the champion in many different way their magical prowess their daring their power of deduction and of course their ability to cope with danger,j.k. rowling,5485.0,4.7,1599.0,1337,46,family life fiction for child fantasy magic for child fiction on orphan foster home for child
69,harry potter and the half blood prince book,there it wa hanging in the sky above the school the blazing green skull with a serpent tongue the mark death eater left behind whenever they had entered a building wherever they had murdered,j.k. rowling,7113.0,4.7,1599.0,1287,78,family life fiction for child fiction on friendship for child fiction on orphan foster home for child
70,wing of fire,we are all born with a divine fire in u our effort should be to give wing to this fire president kalam s inspiring autobiography ha touched the heart of people all over the world the book talk about the his humble beginning in a small village in tamil nadu and his ascent to one of the most powerful position in the country,apj abdul kalam,70.0,4.6,75.0,75,80,biography of president head of state biography autobiography book
71,man s search for meaning,internationally renowned psychiatrist viktor e frankl endured year of unspeakable horror in nazi death camp during and partly because of his suffering dr frankl developed a revolutionary approach to psychotherapy known a logotherapy at the core of his theory is the belief that man s primary motivational force is his search for meaning,viktor e. frankl,12997.0,4.4,468.0,284,96,philosophy audible audiobooks original holocaust
72,learn english word power absolute beginner english,master english with learn english word power this audiobook is a completely new way to learn english vocabulary fast and for free start speaking english in minute with the powerful learning method you will master in this book,innovative language learning,231.0,3.6,0.0,37,8,english language learning
73,the lean startup how today s entrepreneur use continuous innovation to create radically successful business,most startup fail but many of those failure are preventable the lean startup is a new approach being adopted across the globe changing the way company are built and new product are launched,eric ries,3377.0,4.4,1005.0,518,116,small business new business enterprise business management
74,the girl on the train,rachel catch the same commuter train every morning she know it will wait at the same signal each time overlooking a row of back garden she s even started to feel like she know the people who live in one of the house jess and jason she call them their life a she see it is perfect if only rachel could be that happy,paula hawkins,70122.0,4.0,888.0,657,98,psychological thriller crime thriller crime
