,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
1833,the complete book of five ring,the complete book of five ring is an authoritative version of musashi s classic the book of five ring translated and annotated by a modern martial art master kenji tokitsu tokitsu ha spent most of his life researching the legendary samurai swordsman and his work and in this book he illuminates this seminal text along with several other work by musashi these include the mirror of the way of strategy which musashi wrote when he wa in his s thirty five instruction on strategy and forty two instruction on strategy which were precursor to the book of five ring and the way to be followed alone which musashi wrote just day before his death,miyamoto musashi,149.0,4.9,668.0,303,3,eastern philosophy martial art book
1835,my name is red,in istanbul in the late s the sultan secretly commission a great book a celebration of his life and his empire to be illuminated by the best artist of the day in the european manner but when one of the miniaturist is murdered their master ha to seek outside help did the dead painter fall victim to professional rivalry romantic jealousy or religious terror,orhan pamuk,361.0,4.3,1138.0,1223,3,contemporary fiction audible audiobooks original
1836,grow how ideal power growth and profit at the world s greatest company,ten year of research uncover the secret source of growth and profit,jim stengel,34.0,4.5,1005.0,619,3,forecasting strategic planning marketing audible audiobooks original
1837,a concise history of modern india,a concise history of modern india by barbara d metcalf and thomas r metcalf ha become a classic in the field since it wa first published in a a fresh interpretation of indian history from the mughals to the present it ha informed student across the world,barbara metcalf,18.0,3.9,680.0,664,3,indian history book
1839,the last juror,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,john grisham,955.0,4.5,410.0,0,3,
1840,the science of getting rich,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,wallace d. wattles,2244.0,4.3,70.0,0,3,
1841,the complete book of five ring,the complete book of five ring is an authoritative version of musashi s classic the book of five ring translated and annotated by a modern martial art master kenji tokitsu tokitsu ha spent most of his life researching the legendary samurai swordsman and his work and in this book he illuminates this seminal text along with several other work by musashi these include the mirror of the way of strategy which musashi wrote when he wa in his s thirty five instruction on strategy and forty two instruction on strategy which were precursor to the book of five ring and the way to be followed alone which musashi wrote just day before his death,miyamoto musashi,149.0,4.9,668.0,0,3,
1843,my name is red,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,orhan pamuk,361.0,4.3,1138.0,0,3,
1844,grow how ideal power growth and profit at the world s greatest company,ten year of research uncover the secret source of growth and profit,jim stengel,34.0,4.5,1005.0,0,3,
1845,a concise history of modern india,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,barbara metcalf,18.0,3.9,680.0,0,3,
1847,city and canopy tree in indian city,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,harini nagendra,60.0,4.4,879.0,0,3,
1848,sebastian and son a brief history of mrdangam maker,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,t.m. krishna,49.0,4.3,836.0,0,3,
1850,the coming of the third reich,there is no story in th century history more important to understand than hitler s rise to power and the collapse of civilization in nazi germany with the coming of the third reich richard evans one of the world s most distinguished historian ha written the definitive account for our time a masterful synthesis of a vast body of scholarly work integrated with important new research and interpretation evans s history restores drama and contingency to the rise to power of hitler and the nazi even a it show how ready germany wa by the early s for such a takeover to occur the coming of the third reich is a masterwork of the historian s art and the book by which all others on the subject will be judged,richard j. evans,242.0,4.6,1338.0,0,3,
1851,dumpty the age of trump in verse,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,john lithgow,1721.0,4.7,500.0,0,3,
1853,little vinayak,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,shobha viswanath,5.0,4.2,75.0,0,3,
1854,the manager s guide to hr hiring firing performance evaluation documentation benefit and everything else you need to know nd edition,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,max muller,22.0,4.5,703.0,0,3,
1855,sphere,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,michael crichton,592.0,4.3,1005.0,0,3,
1857,super pumped the battle for uber,a new york time technology correspondent present the dramatic rise and fall of uber set against the rapid upheaval in silicon valley during the mobile era,mike isaac,318.0,4.6,1171.0,772,2,workplace culture industry
1858,the storyteller s secret how ted speaker and inspirational leader turn their passion into performance,how did an american immigrant without a college education go from venice beach t shirt vendor to television s most successful producer how did a timid pastor s son surmount a paralysing fear of public speaking to sell out yankee stadium twice how did the city of tokyo create a powerpoint stunning enough to win them the chance to host the olympics,carmine gallo,183.0,4.4,323.0,494,3,meeting presentation business communication audible audiobooks original
1859,overcoming unwanted intrusive thought a cbt based guide to getting over frightening obsessive or disturbing thought,you are not your thought in this powerful book two anxiety expert offer proven effective cognitive behavioral therapy cbt skill to help you get unstuck from disturbing thought overcome the shame these thought can bring and reduce your anxiety,sally m. winston psyd,703.0,4.7,468.0,323,3,cognitive behavioural psychology anxiety disorder
1860,blockchain the insight you need from harvard business review,can blockchain solve your biggest business problem,harvard business review,12.0,4.2,469.0,203,3,forecasting strategic planning leadership
1861,the art of strategy a game theorist s guide to success in business and life,game theory mean rigorous strategic thinking it s the art of anticipating your opponent s next move knowing full well that your rival is trying to do the same thing to you though part of game theory involve simple common sense much is counterintuitive and it can only be mastered by developing a new way of seeing the world using a diverse array of rich case study from pop culture tv movie sport politics and history the author show how nearly every business and personal interaction ha a game theory component to it mastering game theory will make you more successful in business and life and this lively book is the key to that mastery,barry j. nalebuff,321.0,4.5,949.0,1022,1,forecasting strategic planning economics book
1862,classic goosebump stay out of the basement,dr brewer is doing a little plant testing in his basement nothing to worry about harmless really but margaret and casey brewer are worried about their father especially when they meet some of the plant he is growing down there then they notice that their father is developing plantlike tendency in fact he is becoming distinctly weedy and seedy is it just part of their father s harmless experiment or ha the basement turned into another little shop of horror,r. l. stine,173.0,4.7,351.0,160,3,humorous fiction for child fantasy magic for child
1863,executive presence the missing link between merit and success,do you exude confidence and credibility can you command a room sylvia ann hewlett one of the world s most influential business thinker crack the code of executive presence ep for men and woman intent on winning the next plum assignment and doing something extraordinary with their life,sylvia ann hewlett,248.0,4.3,10378.0,377,2,workplace culture leadership
1864,bulletproof problem solving the one skill that change everything,complex problem solving is the core skill for st century team,charles conn,123.0,4.6,586.0,454,3,business decision making problem solving
1865,clean expanded edition the revolutionary program to restore the body s natural ability to heal itself,a life changing medical breakthrough,alejandro junger,981.0,4.4,12356.0,668,3,cleansing detox diet weight loss diet
1866,loophole of real estate secret of successful real estate investing rich dad advisor,loophole of real estate is for the first time a well a seasoned investor it reveals the legal and tax strategy used by the rich for generation to acquire and benefit from real estate investment the audiobook clearly identifies how these loophole can be used together to maximize your income and protect your investment,garrett sutton,243.0,4.7,500.0,611,2,buying selling home mortgage
1868,clean expanded edition the revolutionary program to restore the body s natural ability to heal itself,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,alejandro junger,981.0,4.4,12356.0,0,3,
1869,loophole of real estate secret of successful real estate investing rich dad advisor,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,garrett sutton,243.0,4.7,500.0,0,3,
1871,thaumaturge spellmonger book,the spellmonger in exile,terry mancour,167.0,4.7,1675.0,0,3,
1873,in the buddha s word an anthology of discourse from the pali canon,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,bhikkhu bodhi - editor and translator,497.0,4.7,1003.0,0,3,
1874,the new life,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,orhan pamuk,19.0,3.9,759.0,0,3,
1875,anupama ganguly ka chautha pyar anupama ganguly s fourth love,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,vijayshree tanveer,95.0,3.9,501.0,0,3,
1876,sorry not sorry,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,sophie ranald,1885.0,4.3,645.0,0,3,
1878,preventive medicine the rational male book,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,rollo tomassi,481.0,4.8,668.0,0,3,
1879,master of greek thought plato socrates and aristotle,for more than two millennium philosopher have grappled with life s most profound and eternal question it is easy to forget however that these question about fundamental issue like justice injustice virtue vice or happiness were not always eternal they once had to be asked for the first time,robert c. bartlett,1.0,3.0,1405.0,0,3,
1880,the defining decade why your twenty matter and how to make the most of them now,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,meg jay,1768.0,4.7,569.0,0,3,
1881,before you know it the unconscious reason we do what we do,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,john bargh,74.0,4.3,752.0,0,3,
1882,uncharted how to map the future,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,margaret hefferman,24.0,4.7,1063.0,0,3,
1883,mini habit smaller habit bigger result,one afternoon after another failed attempt to get motivated to exercise i accidentally started my first mini habit i initially committed to do one push up and it turned into a full workout i wa shocked this stupid idea wasn t supposed to work i wa shocked again when my success with this strategy continued for month and to this day i had to consider that maybe i wasn t the problem in those year of mediocre result maybe it wa my prior strategy that were ineffective despite being oft repeated a the way to change in countless book and blog,stephen guise,1225.0,4.6,501.0,0,3,
1885,all the bright place movie tie in edition,this new york time best selling love story about two teen who find each other while standing on the edge is soon to be a netflix film starring elle fanning and justice smith,jennifer niven,2841.0,4.7,1256.0,664,3,fiction on suicide for teen fiction on mental illness for teen
1886,queen of air and darkness the dark artifice book a shadowhunter novel,dark secret and forbidden love threaten the very survival of the shadowhunters in cassandra clare s queen of air and darkness the final novel in the number one new york time and usa today best selling the dark artifice trilogy queen of air and darkness is a shadowhunters novel,cassandra clare,2123.0,4.7,1138.0,1824,2,teen young adult
1887,mastery the key to success and long term fulfillment,drawing on zen philosophy and his expertise in the martial art of aikido best selling author george leonard show how the process of mastery can help u attain a higher level of excellence and a deeper sense of satisfaction and fulfillment in our daily life,george leonard,480.0,4.5,351.0,217,3,workplace culture philosophy audible audiobooks original
1888,ice station,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,matthew reilly,433.0,4.4,471.0,917,3,literature fiction audible audiobooks original
1889,first man in rome,the first book in the epic master of rome series,colleen mccullough,282.0,4.5,1025.0,2637,3,political thriller historical fiction audible audiobooks original
1891,seeing like a state,compulsory ujamaa village in tanzania collectivization in russia le corbusier s urban planning theory realized in brasilia the great leap forward in china agricultural modernization in the tropic the twentieth century ha been racked by grand utopian scheme that have inadvertently brought death and disruption to million why do well intentioned plan for improving the human condition go tragically awry,james c. scott,96.0,4.6,937.0,966,3,anthropology audible audiobooks original political science history theory
1893,ramayana an ancient indian epic,the great indian epic the ramayana ha been told and retold over thousand of year by poet performer and writer it is a tale of courage and fear love and hate devotion and betrayal the epic span the three world of god human and demon here the force of good and evil collide locked in a battle for the ultimate supremacy rama the crown prince of kosala descendent of the timeless surya dynasty must face unimaginable danger but what lie in his destiny,ayur pulle,4.0,5.0,233.0,67,3,fairy tale fantasy literature fiction audible audiobooks original
1895,hbr s must read on sale hbr s must read series,sale isn t about pushing product or being efficient it s about building the right system to manage and empower your salesperson,harvard business review,25.0,4.0,586.0,348,1,marketing audible audiobooks original leadership
1896,the wall of winnipeg and me,vanessa mazur know she s doing the right thing she shouldn t feel bad for quitting being an assistant housekeeper fairy godmother to the top defensive end in the national football organization wa always supposed to be temporary she ha plan and none of them include washing extra large underwear longer than necessary,mariana zapata,1201.0,4.6,1172.0,960,3,contemporary romance audible audiobooks original
1897,the inimitable jeeves,jeeves exerts the old cerebellum no wedding bell for bingo aunt agatha speaks her mind pearl mean tear the pride of the woosters is wounded the hero s reward introducing claude and eustace sir roderick come to lunch a letter of introduction startling dressiness of a lift attendant comrade bingo bingo ha a bad goodwood,p. g. wodehouse,7.0,4.8,493.0,214,3,humorous fiction
1898,the inimitable jeeves,jeeves exerts the old cerebellum no wedding bell for bingo aunt agatha speaks her mind pearl mean tear the pride of the woosters is wounded the hero s reward introducing claude and eustace sir roderick come to lunch a letter of introduction startling dressiness of a lift attendant comrade bingo bingo ha a bad goodwood,jonathan cecil,242.0,4.8,558.0,214,3,humorous fiction
1900,mind mapping improve memory concentration communication organization creativity and time management,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,kam knight,155.0,4.2,668.0,0,3,
1902,the art of extraordinary confidence your ultimate path to love wealth and freedom,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,dr. aziz gazipura psyd,119.0,4.4,836.0,0,3,
1904,get rich lucky bitch release your money block and live a first class life,it s weird and frankly bewildering that the most talented woman in the world are often the one struggling to make fabulous money from their talent in get rich lucky bitch you ll get the tool and inspiration you need to go to the next level of wealth whether you re starting from scratch or itching to break through the million dollar mark,denise duffield-thomas,300.0,4.7,773.0,0,3,
1906,better vocabulary in minute a day better english series,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,edie schwager,16.0,3.9,656.0,0,3,
1907,get better at getting better,oops it s rush hour and traffic is piling up on that page please try again in a short while if you were trying to place an order it will not have been processed at this time go to the amazon in home page to continue shopping,chandramouli venkatesan,133.0,4.4,879.0,0,3,
1908,blue ocean shift beyond competing proven step to inspire confidence and seize new growth,blue ocean shift is the essential follow up to blue ocean strategy by world renowned professor chan kim and ren e mauborgne,renee mauborgne,236.0,4.6,323.0,0,3,
1910,big potential five secret of reaching higher by powering those around you,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,shawn achor,132.0,4.6,683.0,0,3,
1912,better vocabulary in minute a day better english series,would you like to find new exciting word to use in your speech and writing would you like to be a fascinating conversationalist would you like to be a scrabble expert,edie schwager,16.0,3.9,656.0,330,3,linguistics audible audiobooks original alphabet reference
1913,get better at getting better,what make people succeed why do some people succeed while others struggle despite working hard,chandramouli venkatesan,133.0,4.4,879.0,365,3,business career
1914,blue ocean shift beyond competing proven step to inspire confidence and seize new growth,blue ocean shift is the essential follow up to blue ocean strategy by world renowned professor chan kim and ren e mauborgne,renee mauborgne,236.0,4.6,323.0,587,3,new business enterprise business development audible audiobooks original
1916,big potential five secret of reaching higher by powering those around you,random house present the audiobook edition of big potential written and read by shawn achor,shawn achor,132.0,4.6,683.0,395,3,business career leadership
1918,the big fat surprise why butter meat and cheese belong in a healthy diet,dish up the red meat egg and whole milk in this well researched and captivating narrative veteran food writer nina teicholz prof how everything we ve been told about fat is wrong,nina teicholz,1273.0,4.7,820.0,806,3,popular culture study diet
1919,the coalition year,the coalition year begin it journey in and explores the high and low that characterized year of one of the most tumultuous period in the nation s political history it is an insightful account of the larger governance phenomenon in india coalition politics a seen through the eye of one of the chief architect of the post congress era of indian politics,pranab mukherjee,104.0,4.1,668.0,513,3,biography of politician
1920,step to bloody good wealth,the only way to become wealthy is by being born wealthy right wrong,ashwin sanghi,319.0,4.3,501.0,260,3,personal finance personal success
1921,conversation with friend,france is a year old college student in dublin she performs at spoken word event with her best friend and ex lover bobbi when they are profiled by journalist melissa they enter an orbit of beautiful house and raucous dinner party initially unimpressed france begin an affair with nick melissa s husband which give way to an unexpected intimacy desperate to reconcile her desire and vulnerability of her body france s intellectual certainty begin to yield to something new a disorienting way of living from moment to moment,sally rooney,2547.0,4.3,713.0,513,3,literary fiction
1922,theft of sword riyria revelation volume,audie award nominee fantasy,michael j. sullivan,1038.0,4.5,1407.0,1358,3,epic fantasy action adventure fiction
1923,fresh flood ponniyin selvan book,ponniyin selvan is kalki s magnum opus based in the th century and present the early life of rajaraja and the king of chozha empire though written more than year ago this saga is timeless reeling the listener in it gripping plot which is interwoven with intrigue conspiracy and romance,kalki r. krishnamurthy,44.0,4.7,836.0,927,1,classic literature
1924,the rise of superman decoding the science of ultimate human performance,in this groundbreaking audiobook new york time best selling author steven kotler decodes the mystery of ultimate human performance drawing on over a decade of research and first hand reporting with dozen of top action and adventure sport athlete like big wave legend laird hamilton big mountain snowboarder jeremy jones and skateboarding pioneer danny way kotler explores the frontier science of flow an optimal state of consciousness in which we perform and feel our best,steven kotler,551.0,4.4,603.0,563,3,sport book
1926,creation a novel,a sweeping novel of politics war philosophy and adventure in a restored edition featuring never before published material from gore vidal s original manuscript creation offer a captivating grand tour of the ancient world,gore vidal,42.0,4.3,1005.0,1628,3,literary fiction religious spiritual fiction
1927,catch,it s the closing month of world war ii and yossarian ha never been closer to death stationed in an american bomber squadron off the coast of italy each flight mission introduces him to thousand of people determined to kill him but the enemy above is not yossarian s problem it is his own army intent on keeping him airborne and the maddening catch that allows for no possibility of escape,joseph heller,2424.0,4.2,93.0,162,1,classic literature
1928,stop smoking with allen carr plus a unique minute seminar delivered by the author,ideal for listening to in the car or whilst traveling this new and updated version of the globally best selling book the easy way to stop smoking also includes a unique minute seminar delivered by the author himself,allen carr,17.0,4.1,569.0,342,3,smoking tobacco
1929,the stress solution the step to reset your body mind relationship and purpose,brought to you by penguin,dr rangan chatterjee,552.0,4.7,615.0,331,3,mental health audible audiobooks original
1930,the cybersecurity playbook how every leader and employee can contribute to a culture of security,many book discus the technical underpinnings and complex configuration necessary for cybersecurity but they fail to address the everyday step that board manager and employee can take to prevent attack the cybersecurity playbook is the step by step guide to protecting your organization from unknown threat and integrating good security habit into everyday business situation this audiobook provides clear guidance on how to identify weakness assess possible threat and implement effective policy recognizing that an organization s security is only a strong a it weakest link this audiobook offer specific strategy for employee at every level,allison cerra,9.0,4.8,703.0,299,827,forecasting strategic planning business management industry
1932,brain rule for baby updated and expanded how to raise a smart and happy child from zero to five,what s the single most important thing you can do during pregnancy what doe watching tv do to a child s brain what s the best way to handle temper tantrum scientist know in his new york time best seller brain rule dr john medina showed u how our brain really work and why we ought to redesign our workplace and school now in brain rule for baby he share what the latest science say about how to raise smart and happy child from zero to five this book is destined to revolutionize parenting just one of the surprise the best way to get your child into the college of their choice teach them impulse control brain rule for baby bridge the gap between what scientist know and what parent practice through fascinating and funny story medina a developmental molecular biologist and dad unravels how a child s brain develops and what you can do to optimize it you will view your child and how to raise them in a whole new light you ll learn where nature end and nurture begin why men should do more household chore what you do when emotion run hot affect how your baby turn out because baby need to feel safe above all tv is harmful for child under two your child s ability to relate to others predicts her future math performance smart and happy are inseparable pursuing your child s intellectual success at the expense of his happiness achieves neither praising effort is better than praising intelligence the best predictor of academic performance is not iq it s self control what you do right now before pregnancy during pregnancy and through the first five year will affect your child for the rest of their life brain rule for baby is an indispensable guide,john medina,809.0,4.6,702.0,566,1,relationship family relationship
1936,the holy spirit activating god s power in your life,leading evangelist billy graham ha written an inspiring and thought provoking work based on his personal quest to understand the most mysterious and difficult aspect of the trinity after a discussion with a noted swiss theologian dr graham began a study of the bible to see what is said about the holy spirit a he progressed through his examination he became concerned by the misunderstanding and even ignorance in some christian circle concerning the third person of the trinity,billy graham,476.0,4.8,844.0,642,623,theology philosophy of religion
1937,the ama handbook of project management fifth edition,an essential resource presenting state of the art theory and process of project management the ama handbook of project management ha long been considered the authoritative guide,paul c. dinsmore pmp - editor,7.0,4.2,820.0,1546,3,entrepreneurship audible audiobooks original
1938,how the mind work,in this delightful acclaimed best seller one of the world s leading cognitive scientist tackle the working of the human mind what make u rational and why are we so often irrational how do we see in three dimension what make u happy afraid angry disgusted or sexually aroused why do we fall in love and how do we grapple with the imponderable of morality religion and consciousness,steven pinker,275.0,4.3,1005.0,1565,3,neuroscience neuropsychology biology book
1940,the prophet,the prophet is perhaps the most cherished inspirational and enlightening work in the world,khalil gibran,1640.0,4.5,333.0,86,3,english drama play audible audiobooks original
1941,the prophet,the prophet is perhaps the most cherished inspirational and enlightening work in the world,kahlil gibran,1596.0,4.5,333.0,86,3,english drama play audible audiobooks original
1942,the prophet,the prophet is perhaps the most cherished inspirational and enlightening work in the world,kahlil gibran,1596.0,4.5,333.0,86,3,english drama play audible audiobooks original
1953,business intelligence for dummy,you re intelligent right so you ve already figured out that business intelligence can be pretty valuable in making the right decision about your business but you ve heard at least a dozen definition of what it is and heard of at least that many bi tool where do you start,swain scheps,60.0,4.1,703.0,827,5,
1954,living in the light,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,shakti gawain,110.0,4.7,421.0,180,3,spirituality book
1955,leave it to psmith,the precarious peace of blandings is shattered when her necklace becomes the object of dark plottings for within the castle lurk some well connected jewel thief among them the honourable freddie threepwood lord emsworth s younger son who want the reward money to set up a bookmaking business,p. g. wodehouse,199.0,4.4,653.0,541,2,classic literature humour book
1956,the marshmallow test mastering self control,renowned psychologist walter mischel designer of the famous marshmallow test explains what self control is and how to master it,walter mischel,359.0,4.4,603.0,474,3,science earth science book
1957,sidemen the audiobook,they re loud they re proud they took over your screen with their unique brand of entertainment and now the sidemen are ready to spill all their dirty secret with sidemen the audiobook,the sidemen,680.0,4.7,569.0,314,2,pc video game book graphic design
1959,the long walk the true story of a trek to freedom,with no map or compass but only an ax head a homemade knife and a week s supply of food the compatriot spent a year making their way on foot to british india through mile of the most forbidding terrain on earth they braved the himalaya the desolate siberian tundra icy river and the great gobi desert always a hair s breadth from death finally arriving rawicz reenlisted in the polish army to fight the german,slavomir rawicz,1182.0,4.6,670.0,574,2,biography memoir audible audiobooks original united state history book
1960,stealth war how china took over while america s elite slept,china expert robert spalding reveals the shocking success china ha had infiltrating american institution and compromising our national security,robert spalding,406.0,4.8,879.0,424,3,geopolitics international business audible audiobooks original
1961,target billion pura innovative solution towards sustainable development,with million people living in village india ha the largest rural population in the world based on his indian experience dr kalam recommends a sustainable and inclusive development system called pura providing urban amenity in rural area to uplift the rural mass not by subsidy but through entrepreneurship with community participation,apj abdul kalam,99.0,4.7,879.0,499,3,sociology of urban area philosophy science
1962,the simulation hypothesis an mit computer scientist show why ai quantum physic and eastern mystic all agree we are in a video game,the simulation hypothesis by best selling author renowned mit computer scientist and silicon valley video game designer rizwan virk explains one of the most daring and consequential theory of our time,rizwan virk,159.0,4.4,668.0,562,3,machine theory ai computer science book
1964,mere sapnon ka bharat india of my dream,mahatma gandhi is the most influential indian of the th century whose shadow continues to loom large over the country even year after his death he struggled and dreamt of an india free not only from the yoke of the british rule but also from the evil of poverty illiteracy and un touchability with all it citizen enjoying equally the fruit of freedom and prosperity,mohandas k. gandhi,24.0,4.4,836.0,760,4,indian history book
1966,a parent s guide to high functioning autism spectrum disorder second edition how to meet the challenge and help your child thrive,many ten of thousand of parent have found the fact they need about high functioning autism spectrum disorder asd including asperger s syndrome in this indispensable guide leading expert show how you can work with your child s unique impairment and harness his or her capability,sally ozonoff,235.0,4.6,668.0,582,3,parenting special need child child psychology
1967,trade war are class war how rising inequality distorts the global economy and threatens international peace,a provocative look at how today s trade conflict are caused by government promoting the interest of elite at the expense of worker,matthew c. klein,57.0,4.6,586.0,512,3,social class economic disparity economic public policy
1968,city of bone,clary fray is seeing thing vampire in brooklyn and werewolf in manhattan irresistably drawn towards a group of sexy demon hunter clary encounter the dark side of new york city and the danger of forbidden love,cassandra clare,4461.0,4.5,937.0,852,1,child s horror ghost story book painting book
1969,uncommon type some story,read by two time oscar winner tom hank,tom hanks,973.0,4.2,752.0,601,3,fiction short story literary fiction
1970,it start with client your day plan to build lifelong relationship and revenue,andrew sobel offer a proven day plan for conquering tough client development challenge and growing your client base he s encapsulated year of unique research including personal interview with over top executive into a practical road map for winning more new client and growing your existing relationship,andrew sobel,41.0,4.9,586.0,459,2,customer service personal success in business
1971,the mercy,on christmas eve the sea around the remote norwegian island of vard is thrown into a reckless storm a maren magnusdatter watch fisherman including her father and brother are lost to the wave the menfolk of vard wiped out in an instant,kiran millwood hargrave,222.0,4.4,323.0,665,539,true account book
1972,rewire your anxious brain how to use the neuroscience of fear to end anxiety panic and worry,do you ever wonder what is happening inside your brain when you feel anxious panicked and worried in rewire your anxious brain psychologist catherine pittman and author elizabeth karle offer a unique evidence based solution to overcoming anxiety based in cutting edge neuroscience and research,catherine m. pittman phd,601.0,4.6,668.0,390,3,neuroscience neuropsychology biological science
1973,the th habit live,,stephen covey,437.0,4.4,304.0,45,1,business motivation self improvement leadership
1975,the end of mental illness how neuroscience is transforming psychiatry and helping prevent or reverse mood and anxiety disorder adhd addiction ptsd psychosis personality disorder and more,new hope for those suffering from condition like depression anxiety bipolar disorder addiction ptsd adhd and more,daniel g. amen,525.0,4.7,1055.0,817,3,biological science mental health audible audiobooks original
1976,creating true prosperity,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,shakti gawain,18.0,4.9,421.0,225,3,mental spiritual healing
1977,after,ambiziosa riservata e con un ragazzo perfetto che l aspetta a casa tessa ama pensare di avere il controllo della sua vita al primo anno di college il suo futuro sembra gi segnato una laurea un buon lavoro un matrimonio felice sembra perch tessa fa a malapena in tempo a mettere piede nel campus che subito s imbatte in hardin e da allora niente pi come prima,anna todd,354.0,4.2,497.0,941,2,contemporary romance audible audiobooks original
1978,difficulty of being good,why be good what exactly is dharma how doe one practice it and to what effect gurcharan da superb exposition of the dilemma and ambiguity inherent in the mahabharata show u how we can come to term with the uncertain ethic of the world today a world that is uncannily similar to that of the great epic,gurcharan das,210.0,4.5,1005.0,741,585,literary theory
1979,a thing beyond forever the reward for every true love is not love,what happens when life play a trick on two innocent lover what happens when your first love much against all possibility come back to you in the most bizarre and astounding manifestation ever,novoneel chakraborty,198.0,4.2,668.0,466,3,contemporary romance audible audiobooks original literary fiction
1980,time management the brian tracy success library,more than any other practice in your career your ability to manage time will determine your success or failure it s a simple equation the better you use your time the more you will accomplish and the greater your reward will be,brian tracy,160.0,4.6,351.0,124,3,forecasting strategic planning business career
1981,quiet leadership six step to transforming performance at work,improving the performance of your employee involves one of the hardest challenge in the known universe changing the way they think in constant demand a a coach speaker and consultant to company around the world david rock ha proven that the secret to leading people and living and working with them is found in the space between their ear if people are being paid to think he writes isn t it time the business world found out what the thing doing the work the brain is all about supported by the latest groundbreaking research quiet leadership provides a brain based approach that will help busy leader executive and manager improve their own and their colleague performance rock offer a practical six step guide to making permanent workplace performance change by unleashing higher productivity new level of morale and greater job satisfaction,david rock,196.0,4.5,10378.0,417,3,leadership
1982,the bromance book club,the first rule of book club you don t talk about book club,lyssa kay adams,469.0,4.4,1005.0,549,3,romantic comedy woman s fiction
1983,risk management fifth edition concept and guidance,emphasizing greater clarity on risk practice this new edition of risk management concept and guidance maintains a focus on the ability to apply planned clairvoyance to peer into the future the book begin by analyzing the various system that can be used to apply risk management it provides a fundamental introduction to the basic associated with particular technique clarifying the essential concept of risk and how they apply in project the second part of the book present the specific technique necessary to successfully implement the system described in part i,carl l. pritchard pmp pmi-rmp evp,20.0,3.9,586.0,591,3,corporate finance network administration
1984,the secret of happiness discovering the source of contentment peace and joy,when we resist the present moment we close the door to happiness but when we align with what is we access the source of lasting peace and contentment on the secret of happiness eckhart tolle invite you to experience how your sense of joy and fulfillment radically change through the awakening of consciousness and the realization of who you are beyond the content of your thought,eckhart tolle,4.0,5.0,410.0,192,3,personal success
1985,,national book critic circle fiction,roberto bolaño,357.0,4.1,1406.0,2355,3,literary fiction
1986,team topology organizing business and technology team for fast flow,effective software team are essential for any organization to deliver value continuously and sustainably but how do you build the best team organization for your specific goal culture and need,matthew skelton,161.0,4.6,668.0,391,3,leadership business management
1988,such a fun age,longlisted for the booker prize,kiley reid,2707.0,4.3,493.0,598,1,african american literature
1989,chaurahe par seedhiyan,this collection of hindi short story now in a second edition wa a best selling book in the hindi fiction category,kishore choudhary,20.0,4.3,668.0,435,3,literary fiction
1990,chaurahe par seedhiyan,sorry we just need to make sure you re not a robot for best result please make sure your browser is accepting cooky,kishore choudhary,20.0,4.3,668.0,0,3,
